UT__yyyy-mm-ddThh:mm:ss.sssZ,N_ION_MOM_ESA-C__cm^-3_(All_Qs),VX_ION_GSM_MOM_ESA-C_(@_1_)_km/s_(All_Qs),VY_ION_GSM_MOM_ESA-C_(@_2_)_km/s_(All_Qs),VZ_ION_GSM_MOM_ESA-C_(@_3_)_km/s_(All_Qs),TX_ION_FA_MOM_ESA-C_(@_1_)_eV_(All_Qs),TY_ION_FA_MOM_ESA-C_(@_2_)_eV_(All_Qs),TZ_ION_FA_MOM_ESA-C_(@_3_)_eV_(All_Qs)
2008-08-12T20:49:23.876Z,0.18939669,-25.756254,-23.553073,-0.4476433,2996.9473,2924.5774,2169.9742
2008-08-12T20:49:26.887Z,0.24767259,-0.37369102,-21.450318,-12.246835,2249.788,2330.0234,1553.0103
2008-08-12T20:49:29.897Z,0.21853464,-19.846604,4.381505799999999,2.1536545,2372.77,2372.1718,1780.4391
2008-08-12T20:49:32.907Z,0.21853464,-10.487775,-4.3405193,-8.081755099999999,2461.5132,2592.959,1783.2611
2008-08-12T20:49:35.917Z,0.21853464,-9.708391,-2.022037,-9.9194496,2408.4516,2512.4211,1758.3954
2008-08-12T20:49:38.928Z,0.24767259,10.897219,8.1892483,-7.4388817,2254.1212,2256.0052,1551.4844
2008-08-12T20:49:41.938Z,0.18939669,-5.5436519,-7.044249000000001,1.3966179,2702.9331,2694.9387,1972.7481
2008-08-12T20:49:44.948Z,0.21853464,-15.330981,-15.062682,-0.20155972,2445.7305,2596.5245,1855.5255
2008-08-12T20:49:47.959Z,0.21853464,-10.463067,16.843789,1.6747073,2351.9765,2444.9264,1763.78
2008-08-12T20:49:50.969Z,0.24767256,-9.196819999999999,13.201003,-5.832778500000001,2182.5038,2087.9554,1590.3007
2008-08-12T20:49:53.979Z,0.21853461,-5.9640678,0.23190863,-12.695135,2421.1868,2468.4178,1864.4775
2008-08-12T20:49:56.989Z,0.21853461,-5.7338273,-6.5066892,-15.674268,2387.1397,2347.2828,1791.4009
2008-08-12T20:50:00.000Z,0.21853461,5.2727868,-4.462917299999999,-12.530908,2422.1013,2490.6209,1829.4896
2008-08-12T20:50:03.010Z,0.21853461,3.0352218,-1.0031239,-17.328633,2474.7939,2339.8991,1790.0534
2008-08-12T20:50:06.020Z,0.21853461,-7.141814599999999,-1.4876859,-5.4485514,2425.5132,2382.3857,1790.1442
2008-08-12T20:50:09.031Z,0.21853461,-7.843023700000001,-3.5742078,1.6297754,2429.479,2524.9136,1845.2357
2008-08-12T20:50:12.041Z,0.21853461,-12.040382,-11.597484,-10.183088,2405.9025,2344.7683,1787.9802
2008-08-12T20:50:15.051Z,0.24767256,18.47293,-12.675676,7.255499499999999,2183.4595,2131.0539,1556.4673
2008-08-12T20:50:18.061Z,0.21853461,-12.577404,-19.653399,-13.843161,2461.5498,2458.1046,1796.9937
2008-08-12T20:50:21.072Z,0.21853461,9.7923162,-10.774578,-17.848959,2383.3024,2303.1387,1768.1562
2008-08-12T20:50:24.082Z,0.21853461,17.163225,-16.499225,-15.023097,2697.6049,2394.7073,1919.7111
2008-08-12T20:50:27.092Z,0.21853461,3.774336,-19.139696,-5.0731665,2191.1511,2341.3275,1718.009
2008-08-12T20:50:30.103Z,0.24767256,-15.902808,-12.983178,-16.379889,2232.9367,2272.9362,1535.8771
2008-08-12T20:50:33.113Z,0.24767253,-4.1149779,-25.146708,-12.865726,2087.9244,2133.9144,1519.498
2008-08-12T20:50:36.123Z,0.18939664,21.89279,-17.69721,-16.36758,2726.7378,2782.7277,2021.0977
2008-08-12T20:50:39.133Z,0.18939664,-2.8446671,-4.7041346,0.19484285,2905.28,2745.7326,1964.1402
2008-08-12T20:50:42.144Z,0.18939664,8.856597,-11.675294,-18.907576,2733.7171,2649.1242,2035.9409
2008-08-12T20:50:45.154Z,0.21853459,-6.2116689,1.6062697,-7.2324851,2441.7916,2469.3718,1735.4518
2008-08-12T20:50:48.164Z,0.24767253,-0.32377955,-14.739584,-9.0351126,2019.1785,2318.7394,1646.4958
2008-08-12T20:50:51.175Z,0.21853459,-8.1866232,-17.777944,-12.538696,2341.0905,2335.428,1721.6232
2008-08-12T20:50:54.185Z,0.27681048,-14.622176,-15.380222,1.6864157,1912.9528,1954.5992,1404.2944
2008-08-12T20:50:57.195Z,0.21853456,-7.159576299999999,-21.215311,-3.6105278,2328.9602,2496.9672,1700.898
2008-08-12T20:51:00.205Z,0.2476725,11.101669,-7.0531541,-2.5693942,2280.3891,2147.3311,1501.058
2008-08-12T20:51:03.216Z,0.21853456,3.306678,-6.4932894,9.601625300000002,2448.9467,2351.4226,1684.4273
2008-08-12T20:51:06.226Z,0.21853456,-6.9338317,5.3866641,-9.7602058,2527.2351,2391.3691,1688.2379
2008-08-12T20:51:09.236Z,0.18939662,-11.295752,-2.1104995,-5.1531707,2857.1663,2865.9726,2077.0197
2008-08-12T20:51:12.247Z,0.18939662,5.524818799999999,8.9327868,-3.8161417,2669.5464,2898.4521,1998.3775
2008-08-12T20:51:15.257Z,0.18939662,-15.761846,25.559569,-21.540663,2741.5834,2832.5269,2051.5995
2008-08-12T20:51:18.267Z,0.21853456,5.663328900000001,0.72134568,-3.0463935,2543.8593,2370.3627,1768.7415
2008-08-12T20:51:21.277Z,0.2476725,-0.62793966,10.471008,-10.996573,2281.0419,2288.6172,1665.7279
2008-08-12T20:51:24.288Z,0.1893966,12.717619,-13.720568,-10.837971,2877.0364,2776.7368,2019.5908
2008-08-12T20:51:27.298Z,0.24767247,-5.7467417,-6.5498559,-6.5455139,2262.9443,2274.9343,1567.3856
