UT__yyyy-mm-ddThh:mm:ss.sssZ,FGS-D_B_TOTAL__nT_(All_Qs),BX_FGS-D_(@_1_)_nT_GSM,BY_FGS-D_(@_2_)_nT_GSM,BZ_FGS-D_(@_3_)_nT_GSM
2008-08-12T20:54:05.029Z,45.7622,13.3136,0.841248,43.7747
2008-08-12T20:54:08.039Z,45.6694,13.1723,1.08201,43.7152
2008-08-12T20:54:11.049Z,45.6200,13.1118,0.813102,43.6876
2008-08-12T20:54:14.059Z,45.5250,12.8160,0.749744,43.6774
2008-08-12T20:54:17.070Z,45.6550,12.7426,0.857141,43.8323
2008-08-12T20:54:20.080Z,45.7855,12.6515,1.18004,43.9870
2008-08-12T20:54:23.090Z,45.8693,12.6899,1.10795,44.0651
2008-08-12T20:54:26.101Z,45.8392,12.6605,0.972169,44.0454
2008-08-12T20:54:29.111Z,45.7962,12.6675,0.963987,43.9989
2008-08-12T20:54:32.121Z,45.6995,12.4410,1.15952,43.9582
2008-08-12T20:54:35.131Z,45.7294,12.4881,1.07821,43.9780
2008-08-12T20:54:38.142Z,45.7991,12.3729,1.26057,44.0781
2008-08-12T20:54:41.152Z,45.8417,12.3836,1.05165,44.1249
2008-08-12T20:54:44.162Z,45.7787,11.9973,0.948579,44.1684
2008-08-12T20:54:47.173Z,45.7598,11.9484,1.03015,44.1603
2008-08-12T20:54:50.183Z,45.8169,11.8873,1.12461,44.2337
2008-08-12T20:54:53.193Z,45.8635,11.8280,1.21723,44.2954
2008-08-12T20:54:56.203Z,45.8776,11.9461,1.39296,44.2730
2008-08-12T20:54:59.214Z,45.8796,11.9114,1.26271,44.2883
2008-08-12T20:55:02.224Z,45.8186,11.6974,1.24828,44.2827
2008-08-12T20:55:05.234Z,45.8635,11.8280,1.21403,44.2955
2008-08-12T20:55:08.245Z,45.7862,11.7196,1.58610,44.2324
2008-08-12T20:55:11.255Z,45.8505,11.8643,1.34004,44.2686
2008-08-12T20:55:14.265Z,45.8108,11.8190,1.41793,44.2372
2008-08-12T20:55:17.275Z,45.7821,11.7719,1.49766,44.2174
2008-08-12T20:55:20.286Z,45.7849,11.4444,1.66453,44.3003
2008-08-12T20:55:23.296Z,45.7729,11.4808,1.79134,44.2734
