EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,H_DENSITY_#/cc,SW_H_SPEED_km/s,H_TEMP_RADIAL_Kelvin,VX_(GSM)_km/s,VY_(GSM)_km/s,VZ_(GSM)_km/s
2008-08-12T23:02:49.000Z,1.95940,538.890,84520.6,-536.439,-11.5740,-50.3640
2008-08-12T23:03:53.000Z,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31
2008-08-12T23:04:57.000Z,1.94240,537.970,83046.1,-535.435,-10.8590,-51.3610
2008-08-12T23:06:01.000Z,1.92660,538.750,88191.6,-536.922,-9.09300,-43.7970
2008-08-12T23:07:05.000Z,1.83260,538.210,86005.9,-535.910,-10.4820,-48.9990
2008-08-12T23:08:09.000Z,1.91060,539.090,80042.4,-537.287,-7.49900,-43.8640
2008-08-12T23:09:13.000Z,1.84230,538.190,86825.1,-535.321,-14.3240,-54.0640
2008-08-12T23:10:17.000Z,1.68280,539.990,88008.0,-537.336,-12.1150,-52.4690
2008-08-12T23:11:21.000Z,1.88940,539.300,82121.2,-537.199,-10.0690,-46.8970
2008-08-12T23:12:25.000Z,1.66060,543.000,94670.8,-540.399,-14.4630,-51.5110
2008-08-12T23:13:29.000Z,1.87410,541.240,89721.1,-539.774,-9.44900,-39.1360
2008-08-12T23:14:33.000Z,1.88290,539.790,91515.7,-537.444,-11.8480,-49.3310
2008-08-12T23:15:37.000Z,1.79140,540.820,90363.0,-539.314,-9.31700,-39.7040
2008-08-12T23:16:41.000Z,1.74730,539.560,76857.4,-537.695,-10.4840,-44.0400
2008-08-12T23:17:45.000Z,1.77990,536.380,72614.0,-533.985,-12.7050,-49.5180
2008-08-12T23:18:49.000Z,1.93460,535.930,81864.0,-532.983,-15.3540,-54.5310
2008-08-12T23:19:53.000Z,1.62410,535.480,82218.8,-532.832,-14.8550,-51.6520
2008-08-12T23:20:57.000Z,1.98840,542.800,99708.6,-541.431,-8.62300,-38.1630
2008-08-12T23:22:01.000Z,1.73260,543.660,78529.5,-541.448,-13.4590,-47.6690
2008-08-12T23:23:05.000Z,1.58870,536.870,76313.4,-535.232,-10.7490,-41.1760
2008-08-12T23:24:09.000Z,1.56380,537.400,70646.7,-534.914,-15.1360,-49.9480
2008-08-12T23:25:13.000Z,1.55940,536.940,72526.7,-534.445,-13.6260,-50.5000
2008-08-12T23:26:17.000Z,1.52350,537.690,89385.8,-535.299,-12.6810,-49.6580
2008-08-12T23:27:21.000Z,1.57840,536.700,85633.8,-534.080,-12.1690,-52.2070
2008-08-12T23:28:25.000Z,1.67110,532.350,57996.0,-529.752,-17.8490,-50.1000
2008-08-12T23:29:29.000Z,1.59730,532.500,55116.9,-530.075,-20.7760,-47.0630
2008-08-12T23:30:33.000Z,1.72970,539.030,57773.7,-537.318,-19.1640,-39.1950
2008-08-12T23:31:37.000Z,1.65350,535.610,50902.6,-533.425,-22.2520,-43.6420
2008-08-12T23:32:41.000Z,1.62680,534.670,57697.3,-532.489,-18.1580,-45.4180
2008-08-12T23:33:45.000Z,1.73520,538.110,56458.6,-533.763,-32.5130,-60.8110
2008-08-12T23:34:49.000Z,1.85850,534.160,46294.3,-531.352,-29.6560,-46.8070
2008-08-12T23:35:53.000Z,1.94480,533.690,69044.8,-532.271,-18.6440,-34.9550
2008-08-12T23:36:57.000Z,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31
2008-08-12T23:38:01.000Z,1.81560,531.570,55116.1,-530.014,-21.2470,-35.4470
2008-08-12T23:39:05.000Z,1.74010,530.580,50819.0,-528.467,-25.7010,-40.6100
2008-08-12T23:40:09.000Z,1.69670,531.390,55845.7,-529.621,-22.4770,-37.9600
2008-08-12T23:41:13.000Z,1.85410,532.370,58098.4,-529.433,-28.3120,-48.9670
2008-08-12T23:42:17.000Z,1.65820,534.740,57616.5,-531.954,-27.5670,-47.9520
2008-08-12T23:43:21.000Z,1.71660,533.360,59160.5,-531.024,-25.8040,-43.5410
2008-08-12T23:44:25.000Z,1.68000,536.070,59248.8,-533.460,-24.1150,-47.9020
2008-08-12T23:45:29.000Z,2.10320,535.100,83625.6,-533.506,-15.0710,-39.3150
2008-08-12T23:46:33.000Z,2.03330,534.480,84605.4,-532.290,-18.6030,-45.5840
2008-08-12T23:47:37.000Z,1.96630,530.770,84874.0,-529.595,-15.2410,-32.8110
2008-08-12T23:48:41.000Z,1.82210,525.770,77182.8,-523.485,-18.8960,-46.1470
2008-08-12T23:49:45.000Z,2.04630,530.770,87390.1,-528.675,-15.4880,-45.5120
2008-08-12T23:50:49.000Z,2.56510,531.740,90144.3,-529.823,-16.3620,-43.0860
